"last_name","salary","avg_salary","department_name"
"carr",101768,"99658.000000000000","automotive"
"alexander",144724,"99658.000000000000","automotive"
"nguyen",108378,"99658.000000000000","automotive"
"ortiz",113231,"99658.000000000000","automotive"
"reed",126001,"99658.000000000000","automotive"
"lawson",130993,"99658.000000000000","automotive"
"schmidt",133612,"99658.000000000000","automotive"
"torres",120875,"99658.000000000000","automotive"
"edwards",140194,"99658.000000000000","automotive"
"nichols",110589,"99658.000000000000","automotive"
"carroll",128885,"99658.000000000000","automotive"
"anderson",126485,"99658.000000000000","automotive"
"hawkins",115506,"99658.000000000000","automotive"
"sanchez",146167,"99658.000000000000","automotive"
"george",141505,"99658.000000000000","automotive"
"gordon",129324,"99658.000000000000","automotive"
"thomas",116487,"99658.000000000000","automotive"
"schmidt",121300,"99658.000000000000","automotive"
"butler",128448,"99658.000000000000","automotive"
"gordon",136448,"99658.000000000000","automotive"
"wright",127521,"99658.000000000000","automotive"
"gonzales",101006,"99658.000000000000","automotive"
"owens",135326,"99658.000000000000","automotive"
"webb",111689,"99658.000000000000","automotive"
"mcdonald",111041,"99658.000000000000","automotive"
"carr",101768,"99658.000000000000","baby"
"alexander",144724,"99658.000000000000","baby"
"nguyen",108378,"99658.000000000000","baby"
"ortiz",113231,"99658.000000000000","baby"
"reed",126001,"99658.000000000000","baby"
"lawson",130993,"99658.000000000000","baby"
"schmidt",133612,"99658.000000000000","baby"
"torres",120875,"99658.000000000000","baby"
"edwards",140194,"99658.000000000000","baby"
"nichols",110589,"99658.000000000000","baby"
"carroll",128885,"99658.000000000000","baby"
"anderson",126485,"99658.000000000000","baby"
"hawkins",115506,"99658.000000000000","baby"
"sanchez",146167,"99658.000000000000","baby"
"george",141505,"99658.000000000000","baby"
"gordon",129324,"99658.000000000000","baby"
"thomas",116487,"99658.000000000000","baby"
"schmidt",121300,"99658.000000000000","baby"
"butler",128448,"99658.000000000000","baby"
"gordon",136448,"99658.000000000000","baby"
"wright",127521,"99658.000000000000","baby"
"gonzales",101006,"99658.000000000000","baby"
"owens",135326,"99658.000000000000","baby"
"webb",111689,"99658.000000000000","baby"
"mcdonald",111041,"99658.000000000000","baby"
"medina",106659,"93749.422222222222","beauty"
"dixon",106281,"93749.422222222222","beauty"
"barnes",112837,"93749.422222222222","beauty"
"day",125914,"93749.422222222222","beauty"
"mcdonald",141464,"93749.422222222222","beauty"
"price",96388,"93749.422222222222","beauty"
"rose",127291,"93749.422222222222","beauty"
"reed",97427,"93749.422222222222","beauty"
"hudson",103845,"93749.422222222222","beauty"
"jones",128048,"93749.422222222222","beauty"
"carroll",125398,"93749.422222222222","beauty"
"gordon",110058,"93749.422222222222","beauty"
"dixon",138970,"93749.422222222222","beauty"
"harrison",134334,"93749.422222222222","beauty"
"fowler",110383,"93749.422222222222","beauty"
"tucker",148573,"93749.422222222222","beauty"
"richards",140004,"93749.422222222222","beauty"
"williams",131273,"93749.422222222222","beauty"
"bowman",116355,"93749.422222222222","beauty"
"bailey",94049,"93749.422222222222","beauty"
"howard",148687,"93749.422222222222","beauty"
"rodriguez",141949,"103416.283018867925","clothing"
"coleman",121378,"103416.283018867925","clothing"
"hayes",130097,"103416.283018867925","clothing"
"powell",116013,"103416.283018867925","clothing"
"andrews",142103,"103416.283018867925","clothing"
"peters",132470,"103416.283018867925","clothing"
"gomez",107389,"103416.283018867925","clothing"
"graham",123391,"103416.283018867925","clothing"
"harvey",124707,"103416.283018867925","clothing"
"long",149099,"103416.283018867925","clothing"
"white",136356,"103416.283018867925","clothing"
"hansen",113893,"103416.283018867925","clothing"
"woods",123995,"103416.283018867925","clothing"
"wagner",135445,"103416.283018867925","clothing"
"owens",138682,"103416.283018867925","clothing"
"harvey",131816,"103416.283018867925","clothing"
"jackson",107093,"103416.283018867925","clothing"
"mendoza",128947,"103416.283018867925","clothing"
"vasquez",131811,"103416.283018867925","clothing"
"crawford",114436,"103416.283018867925","clothing"
"fisher",131152,"103416.283018867925","clothing"
"armstrong",143853,"103416.283018867925","clothing"
"moore",142101,"103416.283018867925","clothing"
"wilson",122446,"103416.283018867925","clothing"
"moreno",123017,"103416.283018867925","clothing"
"chapman",110749,"103416.283018867925","clothing"
"collins",137911,"103416.283018867925","clothing"
"simmons",116767,"103416.283018867925","clothing"
"ryan",115888,"103416.283018867925","clothing"
"cole",117962,"103416.283018867925","clothing"
"price",95436,"95054.528301886792","computers"
"freeman",147868,"95054.528301886792","computers"
"washington",148408,"95054.528301886792","computers"
"rose",107207,"95054.528301886792","computers"
"richardson",142403,"95054.528301886792","computers"
"jordan",133498,"95054.528301886792","computers"
"wright",107727,"95054.528301886792","computers"
"gonzales",127393,"95054.528301886792","computers"
"young",104079,"95054.528301886792","computers"
"white",147702,"95054.528301886792","computers"
"boyd",108854,"95054.528301886792","computers"
